"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2018","1,520.76","1,455.52","1,520.76","1,455.52","","4.48%"
"03/25/2018","1,455.52","1,459.06","1,472.54","1,442.71","","-0.24%"
"03/18/2018","1,459.06","1,475.75","1,490.70","1,458.30","","-1.13%"
"03/11/2018","1,475.75","1,482.10","1,484.29","1,461.10","","-0.43%"
"03/04/2018","1,482.10","1,456.38","1,485.67","1,455.06","","1.77%"
"02/25/2018","1,456.38","1,532.60","1,536.40","1,455.95","","-4.97%"
"02/18/2018","1,532.60","1,520.71","1,542.61","1,513.05","","0.78%"
"02/11/2018","1,520.71","1,500.99","1,525.66","1,498.65","","1.31%"
"02/04/2018","1,500.99","1,567.74","1,567.74","1,493.53","","-4.26%"
"01/28/2018","1,567.74","1,592.82","1,598.40","1,551.28","","-1.57%"
"01/21/2018","1,592.82","1,551.04","1,595.31","1,543.29","","2.69%"
"01/14/2018","1,551.04","1,521.41","1,551.04","1,511.04","","1.95%"
"01/07/2018","1,521.41","1,545.57","1,553.11","1,513.10","","-1.56%"
"12/31/2017","1,545.57","1,513.65","1,545.57","1,504.62","","2.11%"
"12/24/2017","1,513.65","1,493.93","1,514.70","1,487.46","","1.32%"
"12/17/2017","1,493.93","1,465.02","1,494.01","1,462.46","","1.97%"
"12/10/2017","1,465.02","1,449.35","1,476.15","1,449.35","","1.08%"
"12/03/2017","1,449.35","1,449.85","1,453.73","1,439.89","","-0.03%"
"11/26/2017","1,449.85","1,449.66","1,451.11","1,439.09","","0.01%"
"11/19/2017","1,449.66","1,443.55","1,454.04","1,434.01","","0.42%"
"11/12/2017","1,443.55","1,434.36","1,444.08","1,418.47","","0.64%"
"11/05/2017","1,434.36","1,418.58","1,446.45","1,418.45","","1.11%"
"10/29/2017","1,418.58","1,445.07","1,450.00","1,414.59","","-1.83%"
"10/22/2017","1,445.07","1,464.99","1,478.83","1,444.61","","-1.36%"
"10/15/2017","1,464.99","1,486.35","1,486.35","1,464.92","","-1.44%"
"10/08/2017","1,486.35","1,491.47","1,491.47","1,479.48","","-0.34%"
"10/01/2017","1,491.47","1,487.52","1,491.47","1,479.32","","0.27%"
"09/24/2017","1,487.52","1,486.15","1,489.12","1,477.03","","0.09%"
"09/17/2017","1,486.15","1,492.96","1,497.82","1,481.05","","-0.46%"
"09/10/2017","1,492.96","1,499.58","1,505.19","1,486.08","","-0.44%"
"09/03/2017","1,499.58","1,494.17","1,508.94","1,490.86","","0.36%"
"08/27/2017","1,494.17","1,475.17","1,497.65","1,465.24","","1.29%"
"08/20/2017","1,475.17","1,477.21","1,485.38","1,470.10","","-0.14%"
"08/13/2017","1,477.21","1,463.07","1,486.12","1,448.95","","0.97%"
"08/06/2017","1,463.07","1,476.47","1,476.47","1,452.76","","-0.91%"
"07/30/2017","1,476.47","1,486.79","1,486.79","1,473.13","","-0.69%"
"07/23/2017","1,486.79","1,471.34","1,486.79","1,463.62","","1.05%"
"07/16/2017","1,471.34","1,487.80","1,488.74","1,466.43","","-1.11%"
"07/09/2017","1,487.80","1,470.32","1,492.21","1,458.61","","1.19%"
"07/02/2017","1,470.32","1,462.90","1,490.56","1,459.13","","0.51%"
"06/25/2017","1,462.90","1,435.12","1,463.25","1,429.73","","1.94%"
"06/18/2017","1,435.12","1,464.77","1,467.90","1,428.66","","-2.02%"
"06/11/2017","1,464.77","1,450.45","1,465.68","1,443.37","","0.99%"
"06/04/2017","1,450.45","1,441.81","1,457.70","1,439.01","","0.60%"
"05/28/2017","1,441.81","1,448.93","1,448.93","1,428.64","","-0.49%"
"05/21/2017","1,448.93","1,436.19","1,451.04","1,434.62","","0.89%"
"05/14/2017","1,436.19","1,443.56","1,461.14","1,420.53","","-0.51%"
"05/07/2017","1,443.56","1,384.92","1,445.30","1,384.92","","4.23%"
"04/30/2017","1,384.92","1,371.54","1,386.73","1,367.98","","0.98%"
"04/23/2017","1,371.54","1,362.33","1,377.89","1,360.32","","0.68%"
"04/16/2017","1,362.33","1,378.28","1,378.28","1,357.74","","-1.16%"
"04/09/2017","1,378.28","1,368.98","1,379.63","1,367.55","","0.68%"
"04/02/2017","1,368.98","1,365.61","1,375.73","1,361.14","","0.25%"
"03/26/2017","1,365.61","1,355.53","1,372.01","1,347.65","","0.74%"
"03/19/2017","1,355.53","1,337.29","1,359.95","1,336.62","","1.36%"
"03/12/2017","1,337.29","1,335.67","1,346.47","1,315.84","","0.12%"
"03/05/2017","1,335.67","1,329.58","1,337.37","1,321.07","","0.46%"
"02/26/2017","1,329.58","1,333.57","1,335.11","1,323.52","","-0.30%"
"02/19/2017","1,333.57","1,341.83","1,342.77","1,328.07","","-0.62%"
"02/12/2017","1,341.83","1,347.40","1,351.36","1,317.32","","-0.41%"
"02/05/2017","1,347.40","1,369.79","1,370.97","1,344.67","","-1.63%"
"01/29/2017","1,369.79","1,372.59","1,372.59","1,353.72","","-0.20%"
